Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
49	4.036	5.1562295	18.0	-10.0	20.0	0.2684502	2.5263975	8.385836	-2.2285452	250000	0.014398201	4.455405	0.0	-0.07819605	1.3551321	-7.1406365e-09	76.27891802787781
50	3.28	5.180888	18.0	-9.0	20.0	0.24827309	2.5525565	8.413154	-2.2893097	255000	0.007121043	4.7716537	0.0	-0.116113186	1.3551203	-3.2901764e-09	77.77932119369507
51	4.108	5.4236827	18.0	-10.0	20.0	-0.035054997	2.3946235	7.919691	-2.2405758	260000	0.010972477	4.5572333	0.0	-0.08624792	1.3562169	-3.5047532e-09	79.25015902519226
52	4.212	5.608481	19.0	-12.0	20.0	0.24046138	2.5285602	8.29845	-2.1130476	265000	0.0029281455	4.9834623	0.0	-0.03357935	1.3582535	-5.722046e-09	80.72072529792786
53	4.632	5.734856	19.0	-11.0	20.0	0.3085668	2.5494528	8.512382	-2.021795	270000	0.0012464395	5.4260855	0.0	-0.09902811	1.3595098	4.6133994e-09	82.18989896774292
54	4.872	5.698387	20.0	-11.0	20.0	0.44827968	2.5895522	8.622978	-1.7681799	275000	0.0023646245	5.5831957	0.0	-0.05223465	1.3594354	-9.536743e-11	83.67906618118286
55	4.16	5.4573255	20.0	-9.0	20.0	0.43483692	2.6619925	8.758301	-2.0729852	280000	0.0010992438	5.154355	0.0	-0.066115856	1.3601933	-1.500845e-08	85.21131324768066
56	4.6	5.3486447	20.0	-10.0	20.0	0.29083908	2.5485957	8.279911	-2.1402292	285000	0.00498346	5.157739	0.0	-0.063464165	1.3605503	6.8187713e-09	86.69617509841919
57	4.556	5.42281	20.0	-12.0	20.0	0.38316527	2.5925043	8.60922	-2.069504	290000	0.0015717156	5.086006	0.0	-0.046846867	1.3609816	-1.3828277e-08	88.15977692604065
58	5.068	5.569145	20.0	-9.0	20.0	0.51067775	2.615553	8.651966	-1.8661878	295000	-0.00036806415	5.53476	0.0	-0.09136486	1.3619809	-1.4817715e-08	89.63030910491943
59	3.872	4.85959	18.0	-10.0	20.0	0.6343877	2.591304	8.719984	-2.0421576	300000	-0.005304066	5.110857	0.0	-0.22744799	1.3625183	1.9073487e-09	91.11163210868835
60	5.06	5.7675295	24.0	-11.0	20.0	0.20494258	2.4431348	8.255926	-1.8596715	305000	-0.0006444678	5.6133027	0.0	-0.16380978	1.3620977	2.5320054e-08	92.61121726036072
61	4.664	5.4698358	26.0	-11.0	20.0	0.5979652	2.56985	8.8250475	-1.9420189	310000	-0.010852559	5.2938323	0.0	-0.053164005	1.3636081	2.6822091e-09	94.11199927330017
62	4.72	5.3067503	20.0	-9.0	20.0	0.3794251	2.5047793	8.501227	-1.9607105	315000	-0.005416407	5.1010485	0.0	-0.055929184	1.3631518	1.6975402e-08	95.5795419216156
63	4.856	5.585272	20.0	-11.0	20.0	0.52720493	2.5750005	8.654114	-1.7141111	320000	-0.006467456	5.122937	0.0	-0.043056965	1.3637897	5.5193903e-09	97.07419109344482
